business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url,trade_assurance
"Shenzhen Jinke Special Materials Co., Ltd.",//szjinke.en.alibaba.com/contactinfo.html,Gold Supplier,8,"ptc heating element,PPTC resettable,Home Applicances,Li battery Materials,carbon nanotube materials",//szjinke.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
Zhongshan Haoleisi Clothing Factory,//haoleisi.en.alibaba.com/contactinfo.html,Gold Supplier,2,"underwear,T-shirts",//haoleisi.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Shenzhen City Shenwei Gold Thread Decoration Co., Ltd.",//szjinxian.en.alibaba.com/contactinfo.html,Supplier,11,"Hair Decoration,Tassel,Cords &amp; Ropes,Bowknot,POM POM/Pipe Cleaner",//szjinxian.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Cychos International Trading (Shanghai) Co., Ltd.",//cychos.en.alibaba.com/contactinfo.html,Gold Supplier,1,"sports products,health products,gym products,yoga products,gym products",//cychos.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Yiwu Elposh Imp And Exp Co., Ltd.",//elposhmarket.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Scarf,Jewelry",//elposhmarket.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Hebei Hua Ren Felt Co., Ltd.",//felt.en.alibaba.com/contactinfo.html,Gold Supplier,8,"Felt,Polyester felt,nonwoven fabric,needle punched felt,pressed wool felt",//felt.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Wuqiang Yongxing Construction Materials Co., Ltd.",//yxglassfiber.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Glass fiber yarn,Glass Fiber coated yarn,Glass Fiber window Netting",//yxglassfiber.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Hangzhou Shengbo Knitting Co., Ltd.",//shengbosocks.en.alibaba.com/contactinfo.html,Supplier,2,Socks,//shengbosocks.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Hangzhou Yinghan Technology Co., Ltd.",//hzyhkj.en.alibaba.com/contactinfo.html,Gold Supplier,2,"sex lingerie,sex toys,adult toys,sex products,adult products",//hzyhkj.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
"Changzhou Well Textile Co., Ltd.",//wellyarn.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Yarn,Fancy yarn,Cashmere,sweater,carpet",//wellyarn.en.alibaba.com/company_profile.html#top-nav-bar,Trade Assurance
